hotelname,image_url
EQ Kuala Lumpur, https://www.eqkualalumpur.equatorial.com/wp-content/uploads/sites/10/2019/10/2019-10-22_eq_sunset-facade_splash_v3.jpg
Lanson Place Bukit Ceylon Kuala Lumpur,https://cf.bstatic.com/xdata/images/hotel/max1024x768/29016542.jpg?k=8a51067d16747cc7ffe330bca8c6124334f1cd075410ce1bb59e9a33cd51edd6&o=
